Antigen	Genes
Ehmt2	['Brox', 'Aida', 'Tmem125', 'Cldn34d', 'Greb1', 'Txndc11', 'Nkx2-6', 'Olfr855', 'Olfr854', 'E030030I06Rik', 'Zfp949', 'Abhd6', 'Olfr806', 'Kpna1', 'Cdh12', 'Fbxw4', 'Npffr2', 'Nemf', 'Rps29', 'Lrr1', 'Acacb', 'Eef2', 'Dapk3', 'Pknox1']
Elf1	['Fam172a', 'Trnt1', 'Vta1', 'Sf3b5', 'Fam207a', 'Edem2', 'Mien1', 'Grb7', 'Trmt44', 'Acox3', 'Ciao3', 'Zfp180', 'Col11a2', 'Vps41', 'Sec31a', 'Tmbim4', 'Irak3', 'Mterf1b', 'Ldah', 'Mterf1a', 'Zfp748', 'Rpl17', 'BC031181', 'Clasrp', 'Coro1a', 'Bola2', 'Srsf5', 'Taf12', 'Ubl5', 'Pin1', 'Fbxl12', 'BC048403', 'Rpl27', 'Ifi35', 'Thap1', 'Tatdn1', 'Ndufb9', 'Slc29a3', 'Trip4', 'Csnk1g1', 'Zfp87', 'Naxd', 'Kif14', 'Gins3', 'Mrm1', 'Dhrs11', 'Myo18a', 'Gm3448', 'Gm3417', 'Gm3435', 'Eif2s1', 'Atp6v1d', 'Gcc2', 'Cep63', 'Anapc13', 'Polr2f', '1700088E04Rik', 'Palb2', 'Dctn5', 'Rbck1', 'Zfp513', 'Snx17', 'Eif2b4', 'Hps1', 'Wwox', 'Tedc1', 'Crip1', 'Zfp51', 'Trmt6', 'Mcm8', '9030025P20Rik', 'Josd2', 'Aspdh', 'Pum3', 'Tcte3', 'Ermard', 'Faap24', 'Wdr89', 'Pex2', 'Leng8', 'Rwdd2b', 'Ltn1', 'Slc38a10', 'Angel2', 'Ebna1bp2', 'Cfap57', 'H4f16', 'H2aj', 'Sec61a1', 'Fbxw2', 'Poc5', 'Lmbr1l', 'Trpm2', 'Cfap410', 'Tfip11', 'Ppp4r3b', 'Nadsyn1', 'Dhcr7', 'Vps33b', 'Akap8']
Elf4	['Faap24', 'BC052040', 'Fam172a', 'Slc39a9', 'Erh', 'Trip4', 'Csnk1g1', 'Wdr89', 'Pramef8', 'Xrcc4', 'Tmem167', 'Eif2s1', 'Atp6v1d', 'Srsf5', 'Ubl5', 'Pin1', 'Fbxl12', 'Elf2', 'Zfp317', 'Rps19', 'Lmbr1l', 'Tmem150a', 'Rnf181', 'Meig1', 'Dclre1c', 'Tnrc6b', 'Riok2', 'Ccdc61', 'Klhl18', 'Kif9', 'Isoc2b', '4833420G17Rik', 'Prr13', 'Rwdd2b', 'Ltn1', 'Mib2', 'Acbd5', 'Rmnd1', 'Armt1', 'Stk11ip', 'Ap1g2', 'Slc38a10', 'Zfp513', 'Snx17', 'Eif2b4', 'Hjurp', 'A730008H23Rik', 'Zfp87', 'Cirbp', '1600002K03Rik', 'Pigf', 'Cript', 'Zfand3', 'Vta1', 'Shc1', 'Lenep', 'Flad1', 'Cks1b', 'Wwox', 'Rbm42', 'Eif2ak3', 'Miip', 'Fv1', 'Pex2', 'Rps26', 'Sugct', 'Mplkip', 'Rpl17', 'BC031181', 'Katnb1', 'Atp6v1e1', 'Chmp5', 'Bag1', 'Zfp51', 'Gabpb2', 'Vps33b', 'Syce1l', 'Mon1b', 'Reep6', 'Pcsk4', '2310011J03Rik', 'Ldah', 'Xcr1', 'Glyctk', 'Fyco1', 'Cep63', 'Anapc13', 'Lsg1', 'Tedc1', 'Crip1', 'Myo18a', 'Pum3', 'Use1', 'Tgds', 'Gpr180', 'Spsb3', 'Nubp2', 'Nme3', 'Mrps34', 'Igfals']
Elf5	['Greb1', 'Cldn34d', 'Slc36a4', 'H6pd', 'Radil', 'Olfr1511', 'Nrde2', 'Smpdl3b', 'Brox', 'Aida', 'Olfr1510', 'Chn2', 'Vps39', 'BC016579', 'Spin1', 'Kpna1', 'Gprc5c', 'Eepd1', 'Ifngr1', 'Gm45618', 'Il31ra', 'Txndc11', 'Nkx2-6', 'Gk5', 'Clstn1', 'Fam110a', 'Gcnt1', 'Wdr31', 'Bspry', 'Eya2', 'Tlr4', 'Phldb1', 'Ppm1l', 'Zfp366', 'Stx19', 'Rgcc', 'Zfp710', 'Atxn7l1', 'Usp50', 'Btn2a2', 'Ssbp2', 'Hddc2', 'Mael', 'Ildr2', 'Dusp7', 'Krtcap3', 'Slc31a2', 'Tmem175', 'Gak', 'Aanat', 'Hmgcll1', 'Hexb', 'Ddah1', 'Myoz2', 'Nus1', 'Pald1', 'Dsc3', 'Slc9a9', 'Pafah2', 'Acot7', 'Slc2a9', 'Riiad1', 'Celf3', 'Vps37c', 'Dtx1', 'Nfam1', 'Golm1', 'Anpep', 'Pdk1', 'Defb6', 'Slc1a1', 'Nrg2', 'Usp38', 'Rad54l', 'Olfr279', 'D10Wsu102e', 'Slc27a2', 'Car9', 'Arhgef39', 'Ubxn2a', 'Atad2b', 'Fer', 'Crybg3', 'Plekhm1', 'Ick', 'Slfnl1', 'Ghrl', 'Slamf8', '4931406C07Rik', 'Zfp469', 'Pigu', 'Zfp541', 'Rnf149', '4930555G01Rik', 'Apobec3', 'Tnk1', 'Plscr3', 'Rcan2', 'Lao1', 'Ccl1']
Elk1	['Txndc11', 'Brox', 'Aida', 'Greb1', 'Cldn34d', 'Tmem125', 'Nkx2-6', 'Sft2d1', 'Fbxw4', 'Pknox1', 'Acacb', 'Chp1', 'Exd1', 'Tfg', 'Olfr854', 'Olfr855', 'E030030I06Rik', 'Kpna1', 'Pomp', 'Aimp1', 'Tbck', 'Orc1', 'Prpf38a', 'Zc3h15', 'Zfp949', 'Pak1ip1', 'Ccnt2', 'Scrib', 'Snrnp200', '1810024B03Rik', 'Cherp', 'Il31ra', 'Hjurp', 'A730008H23Rik', 'Hmgxb3', 'Rad1', 'Brix1', 'Abhd6', 'Cdh12', 'Haus6', 'Tcte3', 'Gm3448', 'Gm3417', 'Ermard', 'Olfr806', 'Hexb', 'Otud6b', 'Chordc1', 'Gm525', 'Ap4e1', 'Sspn', 'Cct8', 'Dtwd1', 'Fam227b', 'Tada3', 'Arpc4', 'Nemf', 'Zc3h3', 'Lrr1', 'Rps29', 'Gm38655', 'Unkl', 'BC003965', 'Fgf21', 'Fut1', 'Izumo1', 'Rasip1', 'Rtf2', 'Oasl1', 'Gtf3c2', 'Emc3', 'Fancd2', 'Spdye4b', 'Rbak', 'Atp6v1d', 'Eif2s1', 'Malt1', 'Rab5if', 'Tsga10', 'Lipt1', 'Mul1']
Elk3	['Txndc11', 'Vmn2r102', 'Hexb', 'Kpna1', 'Aldh9a1']
Elk4	['Greb1', 'Socs3', 'Olfr806', 'Acacb', 'Abhd6', 'Cldn34d', 'Nkx2-6', 'Tmem101', 'Fam227b', 'Dtwd1', 'Aadacl2fm1', 'Wwox', 'Setd4', 'Cbr1', 'Lrr1', 'Rps29', 'Kpna1', 'Rasip1', 'Fgf21', 'Fut1', 'Izumo1', 'Zfp949', 'Nemf', 'Txndc11', 'Malt1', 'Map3k14', 'Olfr1274', 'Prxl2b']
Ell	['Fcgr4', 'Greb1', 'Taf12', 'Gmeb1', 'Eapp', 'Gtf3c6', 'BC107364', 'Fyco1', 'Hexb', 'Abhd6', 'Olfr806', 'Zfp949', 'Acacb', 'Tmem107', 'Kpna1', 'Zfp870', 'Tti2', 'Wwox', 'Pecam1', 'Tex14', 'Fam227b', 'Dtwd1', 'Rps29', 'Lrr1', 'Aadacl2fm1', 'Sirt4', 'Nemf', 'Fam98b', 'Olfr1274', 'Arl4d', 'Rdm1', 'Calr', 'Gip', 'Snf8', 'Malt1', 'Syt3', '1700008O03Rik', 'Npffr2', 'Olfr855', 'Olfr854', 'Spink10', 'Fbxo38', 'Lemd2', 'Il31ra', 'Cabp2', 'Fut1', 'Fgf21', 'Rasip1', 'Izumo1', 'Lcorl', 'Setd4', 'Cbr1', '9430015G10Rik', 'Zcchc8', 'Nkx2-6', 'Nudt13', 'Csf2ra', 'Cldn34d', 'LOC666331', 'Gm11634']
Ell2	['Greb1', 'Olfr854', 'Olfr855', 'Acacb', 'Hexb', 'Zfp949', 'Kpna1', 'Olfr806', 'Nemf', 'Abhd6', 'Fcgr4', 'Wwox', 'Npffr2', 'Lrr1', 'Rps29', 'Rasip1', 'Izumo1', 'Fut1', 'Fgf21', 'Cldn34d', 'BC107364', 'Fam227b', 'Dtwd1', 'Gtf3c6', 'Malt1', 'Eapp', 'Csf2ra']
Ell3	['Lemd2', 'Spink10', 'Fbxo38', 'Usp31', 'Cradd', 'Calr', 'Txndc15', 'Gm18905', 'Prkcsh', 'Ccdc151', 'Slmap', 'Uqcrh', 'Lrrc41', 'Tbl1xr1', 'Asns', 'Trim71', 'Oga', 'Psmb5', 'Psmb11', 'Tomm40l', 'Nr1i3', 'Apoa2', 'Glt1d1', 'Vps37d', 'Dnajc30', 'Bud23', 'Cdk5rap2', 'Dpf1', 'Zcchc3', '6820408C15Rik', 'Exosc2', 'Rcc1l', 'Gtf2ird2', 'Abcd4', 'Wsb2', 'Dapk1', 'Sox12', 'Zfp710', 'Has3', 'Cd38', 'Pkm', 'Zbtb34', 'Morf4l1', 'Zfp37', 'Hacd2', 'Knstrn', 'Zfp428', 'Zdbf2', 'Gpr1', 'Fbxo42', 'Cldn34d', 'Ccdc124', 'Ypel4', 'Slx4ip', 'Mkks', 'Greb1', 'Cbx7', 'Cep350', 'Fam53b', 'N4bp1', 'Usf1', 'Tstd1', 'Zscan10', 'Zfp13', 'Map1lc3b', 'A430005L14Rik', 'Slc7a7', 'Neurog3', 'Prepl', 'Camkmt', 'Tpgs1', 'Madcam1', 'Zfhx3', 'Sec23ip', 'Mcmbp', 'Ndrg3', 'Adgrl1', 'Rarg', 'Ppp1r16a', 'Otop1', 'Kifc2', 'Foxh1', 'Cyhr1', 'Tor1a', 'Tmem181a', 'Tnfrsf12a', 'Thoc6', 'Hcfc1r1', 'Cldn9', 'Cldn6', 'Ung', 'Ier2', 'Alkbh2', 'Slc15a1', 'Gnai2', 'Nfia', 'Supt5', 'A930007A09Rik', 'Llgl2', 'Hsd17b11']
Elob	['Greb1', 'Nkx2-6', 'Cldn34d', 'Hexb', 'Olfr806', 'Olfr855', 'Olfr854', 'Prss33', 'Elob', 'Abhd6', 'Zfp949', 'Kpna1']
Eomes	['Olfr285', 'Olfr257', 'Aida', 'Brox', 'Cldn34d', 'Nav2', 'Olfr854', 'Olfr855', 'Kpna1', 'Greb1', 'Zkscan2', 'Gmnc', 'Nfix', 'Prl3c1', 'Astn2', 'Nin', 'Prlhr', 'Dnajb5', '4931429L15Rik', 'Slc37a2', 'Aff3', 'Cyp11a1', 'Zfp949', 'Ttc7', 'Ccdc54', 'E030030I06Rik', 'Galnt14', 'Nudt2', 'Kif24', 'Gm7972', 'Vmn2r102', 'Deptor', 'Acacb', '6430548M08Rik', 'Med30', 'Fbxw4', 'Ankrd55', 'Malt1', 'Il31ra', 'Rps29', 'Lrr1', 'Hexb', 'Fbxo34', 'Lyrm9', 'Osbpl5', 'Rasip1', 'Fgf21', 'Asrgl1', 'Izumo1', 'Fut1', 'Txndc11', 'Lgals3', 'Rnd2', 'Runx1t1', 'Arap1', 'Nemf', 'Npffr2', 'Ddit4', 'Ank1', 'Trim2', 'Ccdc33', 'Schip1', 'Gpr142', 'Btbd17', 'Tmem125', 'Zfp423', 'Prxl2b', 'Dpysl4', 'Rerg', 'Smad7', 'Dlk1', 'Adgrv1', 'Fchsd2', 'Th', 'Olfr806', 'Fam227b', 'Dtwd1', 'Zbtb18', 'Pknox1', '1700012A03Rik', 'Gucy1b2', 'Toporsl', 'Nwd1', 'Tchp', 'Gltp', 'Trak1', 'Reg3g']
Ep300	['Nup85', 'Txndc11', 'Zfp661', 'Mrps5', 'Hadhb', 'Hadha', 'Stam2', 'Hdac2', 'Noct', 'Supv3l1', 'Il12rb2', 'Slc35b1', 'Raly', 'Sart3', 'Iscu', 'Polr3f', 'Dzank1', 'Ly6g6d', 'Ly6g6f', 'Abhd16a', 'Rnf44', 'Cdhr2', 'Dhrs9', 'Tigd5', 'Eef1d', 'Sept11', 'Dthd1', 'Ppm1l', 'Ss18', 'Srd5a1', 'Nsun2', 'Hspa9', 'Gorab', 'Psip1', 'Tm9sf1', 'Ipo4', 'Tssk4', 'Caprin1', 'Zfp335', 'Phrf1', 'Sod2', 'Vdac2', 'Nnat', 'Blcap', 'Hmox2', 'Nmral1', 'Wdr92', 'Pno1', 'Ndst2', 'Skp1a', 'Kcnab2', 'Nphp4', 'Cox7a2l', 'Rps29', 'Lrr1', 'Stam', 'Gipc1', 'Iqch', 'Aagab', 'Tmcc3', 'Fus', 'Taf9', 'Rad17', 'Ak6', 'Rita1', 'Ddx54', 'Tbck', 'Aimp1', 'Tmem129', 'Tacc3', 'Slbp', 'Cmc2', 'Cenpn', 'Dctn1', 'Wdr54', '1700003E16Rik', 'Mpst', 'Tst', 'Vti1b', 'Asah1', 'Mmp28', 'Taf15', 'Flcn', 'Fbxo33', 'Rpl21', 'Ninj2', 'Oga', 'Cd164', 'Pik3r3', 'Stk17b', 'Uchl3', 'Map7d1', 'Trappc3', 'Ms4a10', 'Tada3', 'Arpc4', 'Bzw1', 'Pip5k1c', 'Tjp3', 'Lif']
Ep400	['Greb1', 'Nkx2-6', 'Olfr806', 'Hexb', 'Kpna1', 'Cldn34d', 'Abhd6', 'Il31ra', 'Aldh9a1', 'Cox8c', 'Dnah7b']
Epop	['Greb1', 'Nkx2-6', 'Olfr855', 'Olfr854', 'Zfp949', 'Suz12', 'Prss33', 'Elob', 'Olfr806', 'Rps29', 'Lrr1', 'Abhd6', 'Eapp', 'Nemf']
Ercc3	['Greb1', 'Olfr806', 'Abhd6', 'Wwox', 'Acacb', 'Aadacl2fm1', 'Setd4', 'Cbr1', 'Taf12', 'Gmeb1', 'Tecpr1', 'Eapp', 'Tex14', 'E030030I06Rik', 'Tent5c']
Erf	['Atf2', 'Pura', 'Naa35', 'Rnpc3', 'Gpbp1', 'Mfsd8', 'Rps7', 'Rbm26', 'Tspyl1', 'Zfp91', 'Lpxn', 'Agl', 'Crebzf', 'Wdr27', '1600012H06Rik', 'Glce', 'Vps4b', 'Ttc14', 'Ssbp1', 'Luc7l2', 'Coq9', 'Ciapin1', 'Slc39a9', 'Erh', 'Creld2', 'Alg12', 'Tmem209', 'Ssmem1', 'Smim10l1', 'Nop14', 'Grk4', 'Stxbp4', 'Cox11', 'Sept7', 'Gpn2', 'Gpatch3', 'Scamp5', 'Tmco1', 'Tipin', 'Zzz3', 'Dbr1', 'Armc8', 'Srcap', 'Slc25a4', 'Cct8', 'Psmb2', 'Abhd18', 'Herc1', 'Ptpn4', 'Mthfd2', 'Mob1a', 'Map3k7', 'Camk2d', 'Trappc2', 'Ofd1', 'Micu2', 'Sap18b', 'Sap18', 'Myef2', 'Uhrf2', 'Npm1', 'Srsf10', 'Copb2', 'Pum3', 'Fam76a', 'Sipa1l1', 'Suv39h1', 'Tasor2', 'Eif5', 'Rpl26', 'Rps28', 'Puf60', 'Spdl1', 'Rps3a1', 'Mrtfb', 'Mms22l', 'Rab33b', 'Sec23ip', 'Mcmbp', 'Nsun3', 'Lrif1', 'Micos10', 'Dalrd3', 'Wdr6', 'Arl10', '4833439L19Rik', 'Supt5', 'Ireb2', 'Asph', 'Kazald1', 'Hspa4', 'Lamp1', 'Xpc', 'Lsm3', 'Qrich1', 'Qars', 'Rfesd', 'Tubgcp5', 'Tas1r1', 'Nol9']
Erg	['Snrpd1', 'Esco1', 'Mettl25', 'Ccdc59', 'Cenps', 'Ddx46', 'Exoc2', 'Epn1', 'Wasl', 'Rnft2', '2410131K14Rik', 'Sptlc1', 'Rab12', 'Sh2b3', 'Ddx19b', 'Aars', 'Arhgef7', 'Smim14', 'Wfdc3', 'Dnttip1', 'Bola3', 'Thumpd3', 'Tex10', 'Txndc11', 'Ryr1', 'Rasgrp4', 'Arpc2', 'Psmd12', 'Pitpnc1', 'Scrib', 'Nbn', 'Ift88', 'Pomp', 'Ptcd2', 'Mrps27', 'Lyl1', 'C330018D20Rik', 'Dusp2', 'Astl', 'Slc35a1', 'Mtmr2', 'Ift46', 'Arcn1', 'Xkr7', 'Zpbp', 'Spata48', 'Arih2', 'Mrm1', 'Dhrs11', 'Rraga', 'Krt80', 'Uba7', 'Inka1', 'Klhdc2', 'Slc25a10', 'Mrpl12', 'Mapk1ip1l', 'Orc5', 'Dnm1l', 'Hibch', 'Tmbim4', 'Irak3', 'Zfp518a', 'D10Wsu102e', 'Exoc3', 'Fbxo22', 'Ndfip2', 'Sde2', 'Gle1', 'Ccnl1', 'Mrpl58', 'Trp53rkb', 'Rbsn', 'Gtf2h3', 'Eif2b1', 'Ndufv3', 'Wdr4', 'Zfp335', 'Caap1', 'Nol10', 'Sra1', 'Slc35a4', 'Eif4ebp3', 'Apbb3', 'Saal1', 'Saa3', 'Tox2', 'Myl12a', 'Ctdp1', 'Rac1', 'Itm2b', 'Hspe1', 'Hspd1', 'Faf1', 'Cdkn2c', 'Sowahc', 'Sept10', 'Tmem39a', 'Tbck', 'Aimp1']
Esr1	['Fbll1', 'Tap2', 'Tmem86a', 'Akr1cl', 'Cryge', 'Greb1', 'Fyco1', 'Xcr1', 'Rsl1d1', 'Ocstamp', 'Txndc11', 'Slc25a28', 'Dus1l', 'Ddi1', 'Zfp787', 'Zfp444', 'Sprr2a3', 'Usp5', 'Cdca3', 'Ccdc117', 'Zcchc10', 'N6amt1', 'Lpar1', 'Gpam', 'Mad2l1', 'Car5a', 'Banp', 'Prcc', 'Tgfbr3l', 'Map2k7', 'Pik3cd', 'Slc25a12', 'Nepro', 'Alox5ap', 'Htra1', 'Hsd17b11', 'Haus4', 'Ccar1', 'Map2k1', 'Ube2r2', 'Kcnk1', 'Fam189a2', 'Mrpl44', 'Axdnd1', 'Snai2', 'Synpo', 'Plbd2', 'Nprl2', 'Cyb561d2', 'Tmem115', '5031439G07Rik', 'Ctr9', 'Csf3', 'Dus2', 'Ddx28', 'Abca8a', 'Mdfic', 'Rmnd5b', 'Med9', 'Il16', 'Lekr1', 'Abca3', 'Abca17', 'Nvl', 'Cnih4', 'Rasd1', 'H4c11', 'Arsi', 'Tln2', 'Nsmce1', 'Mbnl2', 'Mtmr2', 'Sema7a', 'Ankrd46', 'Sprr2a2', 'Sprr2a1', 'Zscan22', 'Cap1', 'Pprc1', 'Pla1a', 'Prkd3', 'Uevld', 'Rab20', 'Ldb1', 'Ripor2', 'Ecel1', 'Cyp4f18', 'Myo18a', 'Nav2', 'Trpc4', 'Unk', 'H3f3b', 'Inip', 'Olfr433', 'Olfr432', 'Amn1', 'Ggt5', 'Lifr', 'Crtac1', 'Mt2']
Esrra	['Cep152', 'Med23', 'Brox', 'Aida', 'Cxadr', 'Txndc11', 'Ptgds', 'Esrra', 'Catsperz', 'Ndufb4', 'Cabcoco1', 'Nlrc5', 'Rab5if', 'Hpx', 'Clybl', 'Cldn34d', 'Sord', 'Tk1', 'Afmid', 'Aqp9', 'Aldoa', 'Ppp4c', 'Sirt5', 'Zfp383', 'Zfp27', 'Sh2b1', 'Vwa8', 'Zmat5', 'Uqcr10', 'Rab21', 'Pygl', 'Tepsin', 'Ndufaf8', 'Ergic1', 'Ythdf1', 'Birc7', 'Gtpbp4', 'Col18a1', 'Qprt', 'Eno1', 'Arf1', 'Tmem125', 'B4galt5', 'Ranbp6', 'Mtch2', 'Impg2', 'Ahi1', 'Trcg1', 'Msrb2', 'Aldh1l1', 'Ppia', 'Fam20a', 'Plscr2', 'Chrne', 'Haus1', 'Atp5a1', 'Cobl', 'E030030I06Rik', 'Cbfa2t3', 'Chd9', 'Slc25a22', 'Cend1', 'Men1', 'Map4k2', 'Crb2', 'Pdcd6ip', 'Cbfa2t2', 'Phf5a', 'Aco2', 'Capn8', 'Zbtb7a', 'Klhl24', 'Minar2', 'Tmed7', 'Eif1a', 'Gm525', 'Ndufs7', 'Tmem161b', 'Greb1', 'Nyx', 'Mycbp', 'Kntc1', 'Apeh', 'Gm38396', 'Baz2a', 'Atp5b', 'Hey2', 'LOC105244034', 'Galntl5', 'Calhm1', 'Oplah', 'Ndrg3', 'Rab3a', 'Mpv17l2', 'Ifi30', 'Cxcl1', 'Cpped1', 'Polr2m', 'Ankrd11', 'Gpcpd1']
Esrrb	['Zyg11a', 'Letmd1', 'Cldn34d', 'Msrb2', 'Atg14', 'Gjc1', 'Hoxb13', 'Tmem79', 'Smg5', 'Greb1', 'Cabcoco1', 'H2al2a', 'Aven', 'Eno1', 'Icam1', 'Aspa', 'Klk1b5', 'Klk1', 'Slc15a1', 'Brox', 'Aida', 'Znrd1as', '2410137M14Rik', 'Spic', 'Glod5', 'A930007A09Rik', 'Tet1', 'Rbbp5', 'Mybl2', 'Klf15', 'Il6st', 'Edem2', 'Nkx2-6', 'Etfrf1', 'Casc1', 'Schip1', 'Agpat2', 'Ube2s', 'Cobl', 'Haus1', 'Atp5a1', 'Jam2', 'Pdk1', 'Micos10', 'Gja1', 'Ren2', 'Zfp979', 'Prkci', 'Eif4a2', 'Stk33', 'D630039A03Rik', 'Zfp982', 'Ren1', 'Dlg5', 'Olfr1339', 'Pfkfb3', 'Tyro3', 'Rpap1', 'Zfp600', 'Cidea', 'Itga3', 'Zbtb45', 'Trim28', 'Arvcf', 'Esrra', 'Catsperz', 'Zswim1', 'Spata25', 'Neurl2', 'Ctsa', 'Katnal2', 'Eif4g3', 'Rrn3', 'Phc1', 'Nabp1', 'Med23', 'B4galt5', 'Mllt6', 'Plekhh1', 'Pccb', 'Sdha', 'Ccdc127', 'Ppfibp2', 'Sh2b1', 'Max', 'Gde1', 'Ccp110', 'Mgat4c', 'Fam168a', 'Cspg5', 'Sgk1', 'Gm36210', '8030462N17Rik', 'Txndc11', 'Lima1', 'Rpe', 'Hnrnpr', 'Sorbs1', 'Dcaf11', 'Gm525']
Esrrg	['Greb1', 'Nkx2-6', 'Olfr806', 'Abhd6', 'Cox8c', 'Cldn34d', 'Aadacl2fm1', 'Hexb', 'Setd4', 'Cbr1', 'Wwox', 'Tent5c', 'Kpna1']
Ets1	['Txndc11', 'Art2b', 'Tox2', 'Sdc4', 'Tmem229b', 'Denr', 'Arl4d', 'Scrib', 'Apol9b', 'Spns1', 'Lat', 'Gins4', 'Gm3448', 'Gm3417', 'Rpp25', '9030025P20Rik', 'Gm3435', 'Itk', 'F2', 'Mief1', 'Krr1', 'Tmem217', 'Tbc1d22b', 'Ggt5', 'Hjurp', 'A730008H23Rik', 'Atp1b3', 'Arpc2', 'Slc39a4', 'Cpsf1', 'Emp3', 'Ccdc114', 'Fn3k', 'Tcte3', 'Ermard', 'Eapp', 'Adgre5', 'Hmces', 'Abcb6', 'Il2', 'Msh4', 'Ski', 'Meig1', 'Dclre1c', 'Med1', 'Cdk12', 'Kctd5', 'Rap1gap2', 'Rlbp1', 'Fanci', 'Rnf10', 'Mafa', 'Il1r1', 'Nrgn', 'Smarca4', 'Cyp2g1', 'Klhl20', 'Ip6k2', 'Zfp623', 'Dhx8', 'Tmem214', 'Mapre3', 'Def8', 'Sirt6', 'Ankrd24', 'Dnajc24', 'Disp1', 'LOC666331', 'Gm11634', 'Nop14', 'Grk4', 'Phf11b', 'Eif3l', 'Ankrd54', 'Cep170', 'Sult6b2', 'Cmas', 'Rabggta', 'Trafd1', 'Hacd4', 'Uspl1', 'Sde2', 'Plekhg3', 'Ssbp1', 'Akr1b3', 'Phf11a', 'Rdm1', 'Kif2c', 'Myl6b', 'Blm', 'Ube3c', 'Ccdc124', 'Kcnn1', 'Rph3al', 'Rnf225', 'Ndufs2', 'Adamts4', 'Stat1', 'Uros', 'Kbtbd7']
Ets2	['Xcr1', 'Fyco1', 'Ddx23', 'Nudt13', 'Sympk', 'Foxa3', 'Nop14', 'Grk4', 'Dync1i2', 'Scrib', 'Tmem115', 'Nprl2', 'Cyb561d2', 'Ormdl3', '9430015G10Rik', 'Pnkd', 'Gpbar1', 'Aamp', 'Slc35b4', 'Zfp189', 'Mrpl50', 'Rtn2', 'Pex14', 'Clpb', 'Ap2m1', 'Rpl27', 'Ifi35', 'Kif2c', 'Med27', 'Unk', 'H3f3b', 'Pprc1', 'Ppig', 'Fastkd1', 'Josd2', 'Aspdh', 'Eif4a3', 'Card14', 'Tfeb', 'Phb', 'Cwc22', 'Tmem43', 'Chchd4', 'Phf12', 'Tsta3', 'Pycrl', 'Oscar', 'Ndufa3', 'Stau1', 'Gm3448', 'Gm3417', 'Azi2', 'Wbp2', 'Unc13d', 'S1pr4', 'Ncln', 'Dexi', 'Clec16a', 'Tmem101', 'Snx27', 'Chmp4b', '9030025P20Rik', 'M6pr', 'Ciao3', 'Sharpin', 'Maf1', 'Cyc1', 'Sec61a1', 'Usp48', 'Vrk1', 'Dhx33', 'Slc39a1', 'Crtc2', 'Tcte3', 'Ermard', 'Gm3435', 'Pafah2', 'Calcoco1', 'Ift88', 'Ubqln4', 'Rab25', 'Lamtor2', 'Ypel4', 'Clp1', 'Specc1', 'Rabac1', 'Nup153', 'Gspt1', 'Psmd7', 'Snw1', 'Sh2d3c', 'Cdk9', 'Hsph1', 'Zfp513', 'Snx17', 'Eif2b4', 'Zfp235', 'Ube2j2', 'Hmx2', 'Bub3']
Etv2	['Greb1', 'Nkx2-6', 'Abhd6', 'Olfr806', 'Cldn34d', 'Hexb']
Etv5	['Txndc11', 'Tjp3', 'Pip5k1c', 'Bcl6', 'Ptcd2', 'Mrps27', 'Fus', 'Psip1', 'Smim24', 'Fzr1', 'Dohh', 'Tut7', 'Ly6g6f', 'Ly6g6d', 'Abhd16a', 'Elovl5', 'Wasl', 'Mob2', 'Hdac2', 'Noct', 'Atrnl1', 'Rnf44', 'Cdhr2', 'Psmd12', 'Pitpnc1', 'Smc3', 'Oxr1', 'Bzw1', 'Ppm1l', 'Mia2', 'Trappc3', 'Map7d1', 'Abtb1', 'Ss18', 'Cadm2', 'Gm3448', 'Gm3417', '9030025P20Rik', 'Cmc2', 'Cenpn', 'Wdr78', 'Mier1', 'Gm3435', 'Per2', 'Ube2b', 'Cdkl3', 'Ptdss1', 'Mterf3', 'Lrpprc', 'Smg7', 'Tcte3', 'Ermard', 'Fkbp3', 'Fancm', 'Exoc5', 'Ap5m1', 'Tmem129', 'Tacc3', 'Slbp', 'Raly', 'Dut', 'Myl12a', 'Cpsf2', 'Prpf40a', 'Arl6ip6', 'Smim41', 'Atg101', 'Ube2n', 'Tnrc6a', 'Rmnd1', 'Armt1', 'Hspe1', 'Hspd1', 'Sftpb', 'Git2', 'Cep41', 'Ankrd13a', 'Rhbdd3', 'Ewsr1', 'Zfp292', 'Cga', 'Ndst2', 'Tex10', 'Spred2', 'Cnot6', 'Zfp219', 'Tmem253', 'Tmem260', 'Ctdp1', 'Akt2', 'Shprh', 'Ubr2', 'Spty2d1', 'Pik3r3', 'Ccdc85c', 'Tardbp', 'Polg', 'Atg12', 'Ap3s1', 'Kdm5a']
