TF	Variance explained	Nr of genes
Nr1h3	0.40017271675585864	7695
Nr1h4	0.4008936578993583	3012
Nr2f2	0.43759681678344886	130
Nr3c1	0.4330240522190066	17537
Nr4a1	0.43140446250859305	16192
Nr5a1	0.4422125828536173	2130
Nr5a2	0.4159262622039207	5912
Nrf1	0.45290094363074734	15270
Nsl1	0.5122973623105945	2451
Nucks1	0.37843474680590794	66
Nup153	0.42672858040527833	51
Nup98	0.45730688840460726	1010
Obox1	0.46438753525003973	1376
Ogdh	0.47110343238294144	6444
Ogt	0.40058082110033627	1068
Olig2	0.45520753043304935	15109
Onecut1	0.42958814513806964	10549
Onecut2	0.4492979464657086	12731
Otx2	0.4401793568561847	16465
Ovol2	0.4576551435269781	700
Paf1	0.39928493206168414	1312
Parp1	0.4611388776184794	316
Pax3	0.4737308954853757	1333
Pax5	0.4263462665454126	5080
Pax6	0.455062324431171	12075
Pax7	0.4390703207733811	16981
Paxip1	0.40501555277018464	5054
Pbrm1	0.45501390863557667	6265
Pbx1	0.4288561153216343	9922
Pcgf1	0.5250798134321126	3627
Pcgf2	0.5099794749696034	5954
Pcgf3	0.4506264504879839	375
Pcgf5	0.44663177713579444	60
Pcgf6	0.4639031098128259	6809
Pcna	0.42993482234795377	125
Pdx1	0.4460961281730366	1389
Pgr	0.43883693147441394	14692
Phc1	0.4471348110923227	35
Phf19	0.4241120483913823	123
Phf2	0.4709860542623644	4697
Phf20	0.5252768352574984	12
Phf5a	0.4160844244070789	295
Phf6	0.45790605327292533	10996
Phf8	0.4482139052026769	12243
Phrf1	0.3866387915914797	135
Pitx1	0.44213564657782517	5125
Pknox1	0.4298771491234177	13414
Plagl1	0.4529643731559242	6290
Pml	0.41643518692754616	58
Pou2af1	0.45446180946066184	7743
Pou2f1	0.4454723510351006	10471
Pou2f3	0.44237221800785337	557
Pou3f1	0.4612033998848037	3280
Pou3f2	0.46114887223878404	5715
Pou5f1	0.43609900618212993	18447
Ppara	0.4276367395911783	12838
Pparg	0.43426759055856695	16563
Prdm1	0.39615885067866	3916
Prdm13	0.46806573710069665	8558
Prdm14	0.4173561387752557	412
Prdm15	0.4517434913632787	15151
Prdm16	0.43042997044264864	12773
Prdm5	0.4276986864672402	1278
Prdm9	0.4447283426872996	7669
Prm1	0.37004646686560194	29
Prmt5	0.38377325859793693	46
Prox1	0.3950097160868831	8221
Psip1	0.45722409376029854	77
Ptf1a	0.43716692137001156	11898
Pwp1	0.3974641893169849	70
Rad21	0.4388087043407389	17745
Rad23b	0.4509926941842798	13430
Rad51	0.4397513348751683	2349
Raf1	0.4378900335306426	1255
Rag1	0.44619957387643994	10771
Rag2	0.4394980933112574	12675
Rai1	0.4954707035298891	8980
Rara	0.4295912666963325	13372
Rarb	0.4414142328764203	2708
Rarg	0.43689298417099165	335
Rb1	0.3832388996812512	87
Rbbp4	0.4079552082067962	1233
Rbbp5	0.4826688744761504	6051
Rbfox2	0.45169854583844216	14103
Rbp2	0.4049206109214611	49
Rbpj	0.4323989884674574	13759
Rbpjl	0.43797456602751916	7137
Rcor1	0.42223287310073465	11650
Rcor2	0.45916538788527794	293
Rec8	0.4709170949061064	11400
Rel	0.38693794723869374	2668
Rela	0.4286453660959293	16699
Relb	0.4234171995257741	77
Rest	0.4471332003507957	11900
Rfx1	0.45863753661964995	10232
Rfx2	0.5023485689129602	2771
Rfx3	0.4697311700018476	7686
Rif1	0.4225110096472306	5090
Rnf2	0.4458052974315423	16611
Rora	0.39254862231697407	3758
Rorc	0.4203120002205467	6839
Rpa1	0.42208558084703	3825
Rpa2	0.4234345206746416	1046
Rtf1	0.3847821133477672	170
Runx1	0.43697332627379576	16696
Runx2	0.43665813244476415	15806
Runx3	0.43486169929583457	10924
Ruvbl1	0.3970882343183016	96
Ruvbl2	0.39634044339066643	102
Rxra	0.4341308315286768	18384
Rybp	0.47308984520346836	9212
Sall4	0.4362436685773107	9686
Sap130	0.47075938808203144	12289
Sap18	0.46489250326315473	925
Satb1	0.42680179131301016	13301
Satb2	0.4426020381739606	219
Scml2	0.4265774140125505	66
Setd1a	0.4481127553631483	14544
Setd2	0.5431823232088266	7
Setdb1	0.42384653332379	5712
Sfmbt1	0.5059967530084627	1741
Sfmbt2	0.45823416510026094	80
Shox2	0.4350770724792816	43
Sin3a	0.44497964645363614	15712
Sin3b	0.39441384442698346	1074
Sirt1	0.4481457918797025	8296
Sirt6	0.47890258071744424	2467
Sirt7	0.482224647566526	39
Six1	0.379418912486748	101
Six2	0.4470660723582104	11774
Six4	0.45139759508947674	11612
Smad1	0.414808186285674	5154
Smad2	0.44657413659001566	15544
Smad3	0.45378201192240886	15102
Smad4	0.44111992304382847	14728
Smad6	0.41070192303476255	73
Smarca4	0.43509187540385563	18558
Smarca5	0.43640391825308	9982
Smarcad1	0.4036385763232223	853
Smarcc1	0.42112811038696046	1993
Smarcd1	0.39937661620123904	297
Smc1a	0.4410171329668995	17148
Smc3	0.43687080313220833	15463
Smc5	0.38511052632767717	265
Smchd1	0.49630905993544605	255
Smyd2	0.48155584847460076	5
Snai1	0.6283847378175937	604
Sox10	0.4569481800135424	2602
Sox11	0.44189490989205393	11031
Sox13	0.404546614505972	108
Sox17	0.43741228502844953	1871
Sox2	0.43814681552944174	17684
Sox3	0.4673194355138333	2142
Sox30	0.45239214337287986	151
Sox4	0.4780673641382361	8425
Sox5	0.4173995607517452	147
Sox6	0.42111989801818844	171
Sox9	0.4431063679344337	13382
Sp1	0.4480609783001987	13436
Sp110	0.6767438735798449	10
Sp3	0.454218170450771	14209
Sp7	0.44930209697900075	133
Sp9	0.4543390974600067	15109
Spen	0.4185498918521046	183
Spi1	0.43304720049569634	18552
Spin1	0.4705593546215864	9772
Srebf1	0.4399392686074195	13907
Srf	0.43888569378283315	15277
Srsf1	0.4004741867743013	128
Srsf2	0.4194809971556499	98
Ss18	0.4103469326428198	2658
Ssrp1	0.39464809904666287	117
Stag1	0.4433817209761491	14758
Stag2	0.44299350431493284	14594
Stat1	0.43113340286473845	15202
Stat2	0.4311668273051931	11896
Stat3	0.43851155014221704	15246
Stat4	0.42370867845319304	7902
Stat5a	0.4294643307904667	16000
Stat5b	0.4232225645471784	10496
Stat6	0.42336185090604717	10491
Sumo1	0.43354350690564125	11241
Sumo2	0.43572650892808557	11798
Supt16	0.4001694462403031	911
Supt5	0.44842029582354104	11038
Supt6	0.43784136253166367	4824
Suv39h1	0.4104355337520203	37
Suv39h2	0.4416825154882818	46
Suz12	0.45350801064434443	14909
T	0.4387859317807143	2821
Taf1	0.4508232223166213	110
Taf10	0.38234823215403796	1645
Taf15	0.42140192637427637	3823
Taf2	0.4622453122150632	13690
Taf3	0.44939148287367864	12354
Taf7l	0.4366124086456672	12910
Taf9b	0.45060881431190875	946
Tal1	0.4224339210224972	11677
Tbl1x	0.4944392745003552	5255
Tbp	0.43620249513938414	16803
Tbpl1	0.4712759841540825	8700
Tbr1	0.4807428422876508	5731
Tbx19	0.449494611747562	5881
Tbx20	0.5006027446211414	546
Tbx21	0.43577682909498494	11618
Tbx3	0.4443308301344635	14048
Tbx4	0.3770690460029199	102
Tbx5	0.4382406047590769	14647
Tcea1	0.4738755959689114	2592
Tcf12	0.4447962026463766	16849
Tcf3	0.4421381931910543	16555
Tcf4	0.4267280246572191	11200
Tcf7	0.44344163094048694	16753
Tcf7l1	0.4311831401435169	45
Tcf7l2	0.4379892680957991	5010
Tdg	0.460751685426976	9707
Tead1	0.42400169134520993	11387
Tead2	0.4211568382776753	1092
Tead4	0.42735054956626556	15314
Terf1	0.46067793242070515	240
Terf2ip	0.4153101819710483	172
Tet1	0.45054518784532466	15585
Tet2	0.4427876902619482	14531
Tet3	0.4530649469950973	10569
Tfam	0.4487233916647124	54
Tfap2a	0.43950265362994645	12154
Tfap2c	0.444382521639118	16540
Tfap4	0.4442180729074371	11380
Tfcp2l1	0.41301666121038483	144
Tfe3	0.42837727548715576	4538
Tgif1	0.43195278088343414	11221
Tgif2	0.45929512670083117	3662
Thap11	0.482711657137342	1031
Thoc5	0.9705471080596391	3
Thra	0.3987155124903289	139
Thrb	0.4180916259551337	58
Tle1	0.41627404769773235	778
Tle3	0.4230718015068566	12905
Tlx1	0.4180363260003739	389
Tmem131	0.4320282548970537	8947
Tnni2	0.3113254054917765	35
Top1	0.45619522356885644	196
Top2a	0.4658794130748634	23
Top2b	0.4235152790347504	47
Tox	0.4752434768103673	3104
Trim28	0.4407539519274228	13881
Trim33	0.42494374491742476	12800
Trp53	0.42662761929269816	5601
Trp63	0.4427642450882441	10176
Tsc22d3	0.4206595471500151	45
Twist1	0.44437303930146554	41
Ubtf	0.44220814167983147	7639
