TF,C(organ),C(dev_stage),C(organ):C(dev_stage)
Ep300,8.221206274165344e-06,0.049624201478985844,0.005299888804823993
Ep400,0.00020995894373849515,0.05007707586772202,0.005299888804823993
Epop,1.601376318899316e-05,0.049624201478985844,0.005299888804823993
Ercc3,3.783693047013562e-05,0.049624201478985844,0.005299888804823993
Erf,5.387110783659381e-05,0.049624201478985844,0.005299888804823993
Erg,9.500781688250362e-06,0.049624201478985844,0.005299888804823993
Esr1,8.840337555419026e-06,0.049624201478985844,0.005299888804823993
Esrra,2.0921354525366812e-05,0.049624201478985844,0.005299888804823993
Esrrb,8.840337555419026e-06,0.049624201478985844,0.005299888804823993
Esrrg,6.993490483448129e-05,0.049624201478985844,0.005299888804823993
Ets1,2.1907150362241662e-05,0.049624201478985844,0.005299888804823993
Ets2,4.2290650337734006e-05,0.049624201478985844,0.005299888804823993
Etv2,0.00011246166681201264,0.049624201478985844,0.005299888804823993
Etv5,0.00015852169822099546,0.049624201478985844,0.005299888804823993
Etv6,0.0008045785281925098,0.050075606142439506,0.005312464242106953
Ezh1,8.221206274165344e-06,0.049624201478985844,0.007374152398340394
Ezh2,8.840337555419026e-06,0.049624201478985844,0.005299888804823993
Fbxo21,0.00017180092610970325,0.049624201478985844,0.005299888804823993
Fgfr1,8.932638346603084e-06,0.049624201478985844,0.005299888804823993
Fli1,1.0412432707296536e-05,0.049624201478985844,0.005299888804823993
Fos,1.4295378519673409e-05,0.049624201478985844,0.005299888804823993
Fosb,8.278575750156865e-06,0.049624201478985844,0.005299888804823993
Fosl1,1.5592747174746047e-05,0.049624201478985844,0.005299888804823993
Fosl2,1.7648681474289465e-05,0.049624201478985844,0.005299888804823993
Foxa1,1.7496422139928184e-05,0.049624201478985844,0.005299888804823993
Foxa2,8.496784774066974e-06,0.049624201478985844,0.005299888804823993
Foxa3,1.714674159396206e-07,0.049624201478985844,0.005299888804823993
Foxf1,3.785082621763097e-05,0.049624201478985844,0.005299888804823993
Foxg1,1.0971306008375493e-05,0.049624201478985844,0.00531845362805303
Foxh1,1.0801928673495118e-05,0.049624201478985844,0.005299888804823993
Foxj2,0.00025895826702662065,0.049624201478985844,0.005299888804823993
Foxk1,0.00025992695540455745,0.049624201478985844,0.005299888804823993
Foxl2,8.615924553249704e-05,0.049624201478985844,0.005299888804823993
Foxo1,0.0003707581238125109,0.049624201478985844,0.005299888804823993
Foxo3,1.762854349279015e-05,0.049624201478985844,0.005299888804823993
Foxp1,1.4295378519673409e-05,0.049624201478985844,0.005299888804823993
Foxp3,7.240461170714935e-05,0.049624201478985844,0.005299888804823993
Gabpa,0.0001471988288374365,0.049624201478985844,0.005299888804823993
Gad1,0.0001417576387301789,0.049624201478985844,0.005299888804823993
Gadd45a,7.390067245243748e-05,0.049624201478985844,0.005299888804823993
Gata1,4.834506418132823e-05,0.049624201478985844,0.005299888804823993
Gata2,1.376772903089537e-05,0.049624201478985844,0.005299888804823993
Gata3,2.6555461086471805e-05,0.049624201478985844,0.005299888804823993
Gata4,8.620168689630599e-06,0.049624201478985844,0.005299888804823993
Gata6,9.736590855358143e-06,0.049624201478985844,0.005299888804823993
Gckr,5.180238518000019e-05,0.049624201478985844,0.005299888804823993
Gcm1,0.0001304545323394169,0.049624201478985844,0.005299888804823993
Gfi1,9.950569294042795e-06,0.049624201478985844,0.005299888804823993
Gfi1b,0.00019688477216578968,0.049624201478985844,0.005299888804823993
Gli1,3.519298544694897e-06,0.049624201478985844,0.005299888804823993
Gli2,5.3048950097229424e-06,0.049624201478985844,0.005299888804823993
Gli3,8.341437722059869e-06,0.049624201478985844,0.005299888804823993
Glis3,7.332666216136835e-05,0.049624201478985844,0.005299888804823993
Glyr1,0.0001541409315762143,0.05118672050016208,0.005299888804823993
Gmnn,4.271978902658801e-06,0.049624201478985844,0.005299888804823993
Gps2,0.0001226178183005366,0.049624201478985844,0.005299888804823993
Grhl2,3.4266494184188295e-05,0.049624201478985844,0.005299888804823993
Grhl3,4.111559170612532e-05,0.049624201478985844,0.005299888804823993
Grip1,1.964478495103291e-05,0.049624201478985844,0.005299888804823993
Gtf2a2,2.9169676208808127e-05,0.049624201478985844,0.005299888804823993
Gtf2b,4.111559170612532e-05,0.049624201478985844,0.005299888804823993
Gtf2e2,0.0006090599724200218,0.049624201478985844,0.005299888804823993
Gtf2f1,0.00011610558011390217,0.049624201478985844,0.005299888804823993
Gtf3c1,1.4478587401446151e-05,0.049624201478985844,0.005299888804823993
Gtf3c2,2.5632551338044007e-05,0.049624201478985844,0.00596417647692415
Gtf3c4,6.033167421867972e-05,0.049624201478985844,0.005574186409280644
Hand1,6.115682484069375e-06,0.049624201478985844,0.0053524536142844584
Hand2,2.534738058841131e-05,0.049624201478985844,0.005299888804823993
Hcfc1,2.8451817478346696e-05,0.049624201478985844,0.005299888804823993
Hdac1,2.5127646565317052e-05,0.049624201478985844,0.005299888804823993
Hdac2,9.696825599417976e-06,0.049624201478985844,0.005299888804823993
Hdac3,1.1720870000308106e-05,0.049624201478985844,0.005299888804823993
Hdac4,0.0009012030022267077,0.05007707586772202,0.005312464242106953
Hells,5.338698579357612e-05,0.049624201478985844,0.005299888804823993
Hexim1,1.6162004029067084e-05,0.049624201478985844,0.005299888804823993
Hic2,1.4295378519673409e-05,0.049624201478985844,0.005299888804823993
Hif1a,0.00011984770240312128,0.049624201478985844,0.005308256462472974
Hira,2.233697909823786e-05,0.049624201478985844,0.005299888804823993
Hmga2,6.478671240522625e-05,0.049624201478985844,0.005299888804823993
Hmgn2,3.384673736955005e-05,0.049624201478985844,0.005299888804823993
Hnf1a,1.3160794352874041e-07,0.049624201478985844,0.005299888804823993
Hnf1b,6.823324796105722e-06,0.049624201478985844,0.005299888804823993
Hnf4a,2.2708637873895766e-05,0.049624201478985844,0.005299888804823993
Hnf4g,9.078862934991298e-05,0.049624201478985844,0.005299888804823993
Hnrnpk,4.1938121673548364e-07,0.049624201478985844,0.012413851353067542
Hnrnpl,2.3433637103593983e-05,0.049624201478985844,0.005299888804823993
Hnrnpu,6.351286837343091e-05,0.049624201478985844,0.005299888804823993
